s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,saruzA,saruz,i. sg. f.,NA,viseranam,1
1,yayA,yad,i. sg. f.,NA,karwa,5
2,priyatamena,priyatama,i. sg. m.,NA,upapaxasambanxah,3
3,saha,saha,ind.,NA,sambanxah,5
4,na,na,ind.,NA,sambanxah,5
5,sTitaM,sTA1,pp.,NA,,
6,sA,tad,nom. sg. f.,NA,viseranam,9
7,aNganA,aNganA,nom. sg. f.,NA,viseranam,9
8,sahasA,sahas,i. sg. m.,NA,hewuh,9
9,kftavepaTuH,kfta-vepaTu,nom. sg. f.,NA,karwa,19
10,satI,as2,ppr. ac,NA,viseranam,9
11,taM,tad,acc. sg. m.,NA,karma,15
12,sahasA,sahasA,nom. sg. f.,NA,karwa,15
13,satI,as2,ppr. ac,NA,viseranam,12
14,sahasA,sahasA,ind.,NA,kriyaviseranam,15
15,pariraBya,pari_raB1,abs.,NA,purvakalah,19
16,kzaRaM,kzaRam,ind.,NA,kriyaviseranam,17
17,SlaTayituM,SlaT1,inf.,NA,prayojanam,19
18,na,na,ind.,NA,sambanxah,19
19,akzamata,kzam1,impft. md. sg. 3,NA,,
