s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,kzitisutavidvizaH,kzitisuta-vidvaw,g. sg. m.,NA,rartisambanxah,1
1,mahizyaH,mahizI,nom. pl. f.,NA,karwa,15
2,karAgrEH,karAgra,i. pl. m.,NA,karanam,9
3,rAgeRa,rAga,i. sg. m.,NA,hewuh,4
4,SriyaM,SrI,acc. sg. f.,NA,karma,9
5,nityAyAH,nityA,g. sg. f.,NA,viseranam,6
6,nijavasateH,nija-vasati,abl. sg. f.,NA,rartisambanxah,7
7,aravindataH,aravinda,ind.,NA,apaxanam,9
8,yat,yat,ind.,NA,sambanxah,9
9,nirAsire,nir_As1,pft. md. pl. 3,NA,,
10,anena,idam,i. sg. n.,NA,karanam,15
11,niyatam,niyatam,ind.,NA,kriyaviseranam,15
12,asyAH,idam,g. sg. f.,NA,rartisambanxah,13
13,sApantyaM,sApantyam,acc. sg. n.,NA,viseranam,14
14,vyaktatvaM,vyaktatvam,acc. sg. n.,NA,karma,15
15,ninyuH,nI1,pft. ac. pl. 3,NA,,
