s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,yasyAM,yad,loc. sg. f.,NA,axikaranam,11
1,gfhezu,gfha,loc. pl. n.,NA,axikaranam,4
2,atiSlakzRatayA,atiSlakzRatA,i. sg. f.,NA,karanam,4
3,AleKyaM,AleKya,acc. sg. n.,NA,karma,4
4,viDAtum,vi_DA1,inf.,NA,prayojanam,11
5,aSaknuvantaH,a-Sak1,ppr. ac,NA,viseranam,7
6,yuvAnaH,yuvan,nom. pl. m.,NA,viseranam,7
7,pratibimbitaaNgAH,pratibimbita-aNgA,nom. pl. m.,NA,karwa,11
8,ratnaBittIH,ratna-Bitti,acc. pl. f.,NA,karma,11
9,sajIvacitrAH,sajIva-citrA,acc. pl. f.,NA,prawiyogi,10
10,iva,iva,ind.,NA,anuyogi,8
11,cakruH,kf2,pft. ac. pl. 3,NA,,
