s_no,word,lemma,morph,true_node,dep_tag,to_node
0,turaNgAt,tad,abl. sg. m.,0,apaxanam,2
1,rAjAavaroDanavaDUH,vaDU,acc. pl. f.,59,karma,2
2,avatArayantaH,Ric,nom. pl. m.,5,bavalakranasapwami_samanakalah,7
3,aDikftAH,kf,nom. pl. m.,8,viseranam,4
4,kaRWaavasaktamfdubAhulatAH,latA,nom. pl. m.,37,karwa,7
5,sPuwam,sPuwa,conj.,14,viseranam,7
6,AliNganAni,AliNgana,acc. pl. n.,15,karma,7
7,ApuH,Ap,pft. ac. pl. 3,16,samucciwam,14
8,eva,eva,conj.,17,sambanxah,7
9,AsAM,idam,g. pl. f.,18,rartisambanxah,10
10,gaRqasTalIH,gaRqasTalI,acc. pl. f.,20,karma,13
11,SucitayA,Suci,inst. sg. f.,21,hewuh,12
12,na,na,conj.,22,sambanxah,13
13,cucumbuH,cumb,pft. ac. pl. 3,23,samucciwam,14
14,ca,ca,conj.,24,,
