s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,yatra,yatra,ind.,NA,axikaranam,9
1,SirIzarajorucaH,SirIzarajo-ruc,nom. pl. f.,NA,karwa,3
2,ravituNatanUruhatulyatAM,ravituraNgatanUruha-tulyatA,acc. sg. f.,NA,karma,3
3,daDati,DA1,ppr. ac,NA,bavalakranasapwami_samanakalah,9
4,asO,adas,nom. sg. m.,NA,viseranam,5
5,SuciH,Suci,nom. sg. m.,NA,karwa,9
6,navamallikAH,nava-mallikA,acc. pl. f.,NA,viseranam,7
7,cirasOraBasampadaH,cirasOraBa-sampad,acc. pl. f.,NA,karma,8
8,vidaDat,vi_DA1,ppr. ac,NA,bavalakranasapwami_samanakalah,9
9,upayayO,upa_yA1,pft. ac. sg. 3,NA,,
