s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,caturTaupAyasADye,caturTa-upAya-sADya,loc. sg. m.,NA,viseranam,2
1,tu,tu,ind.,NA,sambanxah,0
2,ripO,ripu,loc. sg. m.,NA,axikaranam,5
3,sAntvam,sAntva,nom. sg. n.,NA,karwqsamanaxikaranam,5
4,apakriyA,apakriyA,nom. sg. f.,NA,karwa,5
5,Bavati,BU1,pr. ac. sg. 3,NA,,
6,svedyam,svid1,acc. sg. m.,NA,viseranam,7
7,AmajvaraM,Amajvara,acc. sg. m.,NA,karma,8
8,prApya,pra_Ap1,abs.,NA,purvakalah,12
9,kaH,kim,nom. sg. m.,NA,viseranam,10
10,prAjYaH,prAjYa,nom. sg. m.,NA,karwa,12
11,amBasA,amBas,i. sg. n.,NA,karanam,12
12,pariziYcati,pari_sic1,pr. ac. sg. 3,NA,,
