s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,asakalAmalapallavalIlayA,asakalAmalapallava-lIlA,i. sg. f.,NA,karanam,2
1,vismayaM,vi_smi1,acc. sg. m.,NA,karma,2
2,gatavatAm,gam1,pp.,NA,prawiyogi,3
3,iva,iva,ind.,NA,anuyogi,4
4,maDukftAM,maDu-kft,g. pl. m.,NA,rartisambanxah,5
5,lavalIlayA,lava-lIlA,i. sg. f.,NA,hewuh,6
6,AvaliH,Avali,nom. sg. f.,NA,karwa,11
7,rasakalAM,rasa-kalA,acc. sg. f.,NA,viseranam,8
8,giram,gir,acc. sg. f.,NA,karma,11
9,asakft,asakft,ind.,NA,kriyaviseranam,11
10,uccakEH,uccakEH,ind.,NA,kriyaviseranam,11
11,alapat,lap1,impft. ac. sg. 3,NA,,
