s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,SlaTaSirasijapASapAtaBArAt,SlaTaSirasijapASapAta-BAra,abl. sg. m.,NA,prawiyogi,1
1,iva,iva,ind.,NA,anuyogi,2
2,nitarAM,nitarAm,ind.,NA,karma,5
3,natimadBiH,natimat,i. pl. m.,NA,viseranam,4
4,aMsaBAgEH,aMsaBAga,i. pl. m.,NA,hewuh,12
5,GanamahatAM,Gana-mahat,g. pl. n.,NA,viseranam,6
6,pakzmaRAM,pakzman,g. pl. n.,NA,rartisambanxah,7
7,BareRa,Bara,i. sg. m.,NA,prawiyogi,8
8,iva,iva,ind.,NA,anuyogi,9
9,mukulitanayanEH,mukulita-nayana,i. pl. n.,NA,viseranam,10
10,muKaaravindEH,muKa-aravinda,i. pl. n.,NA,karanam,12
11,nitambinIBiH,nitambinI,i. pl. f.,NA,karwa,12
12,atami,tam1,aor. sg. 3,NA,,
