s_no,word,lemma,morph,true_node,dep_tag,to_node
0,apitu,tu,conj.,2,sambanxah,1
1,caRqikArUpaDaraH,Dara,nom. sg. m.,23,viseranam,4
2,eva,eva,prep.,5,sambanxah,1
3,kaScana,kim,nom. sg. m.,6,viseranam,4
4,DUrtaH,DUrta,nom. sg. m.,8,karwa,5
5,asti,as,pr. [2] ac. sg. 3,9,prawiyogi,6
6,iti,iti,part.,10,anuyogi,7
7,niScitya,kf,abs.,11,purvakalah,14
8,tAm,tad,acc. sg. f.,12,karma,10
9,balAt,bala,abl. sg. n.,13,apaxanam,10
10,nigfhya,grah,abs.,15,purvakalah,14
11,tasyAH,tad,g. sg. f.,16,rartisambanxah,12
12,durgatim,tad,acc. sg. f.,18,karma,13
13,kartum,kf,inf.,19,prayojanam,14
14,pravfttaH,vftta,pp.,20,,
