s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,Ayatavalgam,Ayata-valga,nom. sg. n.,NA,karma,4
1,yatnanirudDavAhEH,yatna-nirudDa-vAha,i. pl. m.,NA,viseranam,2
2,turaNgiBiH,turaNgin,i. pl. m.,NA,karwa,4
3,agre,agre,ind.,NA,axikaranam,4
4,avaIkzitAn,ava-Ikzita,acc. pl. m.,NA,viseranam,7
5,reRuBiH,reRu,i. pl. m.,NA,karanam,12
6,prakrIqitAn,prakrIqita,acc. pl. m.,NA,viseranam,7
7,pfTukAn,pfTuka,acc. pl. m.,NA,karma,12
8,jananyaH,jananI,nom. pl. f.,NA,karwa,12
9,tUrRam,tUrRam,ind.,NA,kriyaviseranam,10
10,etya,i1,abs.,NA,purvakalah,12
11,paTiByaH,paTin,abl. pl. m.,NA,apaxanam,12
12,ninyuH,nI1,pft. ac. pl. 3,NA,,
