s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,puraH,puraH,ind.,NA,axikaranam,2
1,haritakam,haritaka,acc. sg. n.,NA,karma,2
2,aSnan,aS2,ppr. ac,NA,viseranam,8
3,grIvaagralolakalakiNkiRikAninAdamiSraM,grIva-agra-lola-kala-kiNkiRikA-ninAda-miSra,acc. sg. m.,NA,viseranam,4
4,daSanacarcuraSabdaM,daSana-carcura-Sabda,acc. sg. m.,NA,karma,5
5,daDat,DA1,ppr. ac,NA,bavalakranasapwami_samanakalah,7
6,mudam,muda,acc. sg. m.,NA,karma,7
7,AdaDAnaH,A_DA1,ppr. md.,NA,viseranam,8
8,aSvaH,aSva,nom. sg. m.,NA,karma,11
9,kzaRavItanidrEH,kzaRa-vIta-nidra,i. pl. m.,NA,viseranam,10
10,BUmipatiBiH,BUmi-pati,i. pl. m.,NA,karwa,11
11,aSrAvi,Sru1,aor. ps. sg. 3,NA,,
