s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,tAH,tad,nom. pl. f.,NA,viseranam,1
1,yozitaH,yozit,nom. pl. f.,NA,karwa,4
2,yAni,yad,acc. pl. n.,NA,viseranam,3
3,vAsAMsi,vAsas,acc. pl. n.,NA,karma,4
4,nyavasata,ni_vas2,impft. md. pl. 3,NA,,
5,SuBrABradyutiBiH,SuBrABra-dyuti,i. pl. m.,NA,viseranam,6
6,tEH,tad,i. pl. m.,NA,karwa,8
7,mudA,mud,i. sg. f.,NA,karanam,8
8,ahAsi,has1,aor. sg. 3,NA,prawiyogi,9
9,iva,iva,ind.,NA,anuyogi,17
10,snapanagalajjalAni,snapanagalaj-jala,nom. pl. n.,NA,viseranam,12
11,yAni,yad,acc. pl. n.,NA,viseranam,12
12,vAsAMsi,vAsas,acc. pl. n.,NA,karma,13
13,atyAkzuH,tyaj1,aor. ac. pl. 3,NA,,
14,tEH,tad,i. pl. n.,NA,karwa,17
15,SucA,Suc,i. sg. f.,NA,hewuh,16
16,sTUlASrusrutiBiH,sTUlA-aSru-sruti,i. pl. m.,NA,karanam,17
17,arodi,rud1,aor. sg. 3,NA,,
18,iva,iva,ind.,NA,anuyogi,17
