s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,sEnyAH,sEnya,nom. pl. m.,NA,karwa,1
1,sasnuH,snA2,pft. ac. pl. 3,NA,,
2,payaH,payas,acc. sg. n.,NA,karma,3
3,papuH,pA1,pft. ac. pl. 3,NA,,
4,ambarARi,ambara,acc. pl. n.,NA,karma,5
5,anenijuH,nij1,impft. ac. pl. 3,NA,,
6,DftavikAsibisaprasUnAH,DftavikAsi-bisa-prasUnA,nom. pl. m.,NA,karwa,8
7,bisaM,bisa,acc. sg. n.,NA,karma,8
8,jakzuH,ad1,pft. ac. pl. 3,NA,,
9,itTaM,itTam,ind.,NA,sambanxah,15
10,te,tad,nom. pl. m.,NA,viseranam,11
11,sEnyAH,sEnya,nom. pl. m.,NA,karwa,15
12,naganimnagAnAM,naga-nimna-ga,g. pl. f.,NA,viseranam,13
13,SriyAm,SrI,g. pl. f.,NA,rartisambanxah,14
14,anupaBoganirarTakatvadozapravAdam,anupaBoga-nirarTakatva-doza-pravAda,acc. sg. m.,NA,karma,15
15,amfjan,mfj1,impft. ac. pl. 3,NA,,
