s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,ASAH,ASA,nom. pl. f.,NA,karwa,9
1,BAsvatkaravyatikaraullasitaambarAntAH,BAsvatkara-vyatikara-ullasita-ambarAnta,nom. pl. f.,NA,viseranam,0
2,mahAjanadarSanena,mahAjana-darSana,i. sg. m.,NA,hewuh,3
3,sApatrapAH,sApatrapA,nom. pl. f.,NA,prawiyogi,4
4,iva,iva,ind.,NA,anuyogi,0
5,ambaravikASi,ambara-vikASin,acc. sg. n.,NA,viseranam,8
6,camUsamutTaM,camU-samutTa,acc. sg. n.,NA,viseranam,8
7,karaBakaRWakaqAraM,karaBa-kaRWa-kaqAra,acc. sg. n.,NA,viseranam,8
8,pfTvIrajaH,pfTvI-rajas,acc. sg. n.,NA,karma,9
9,saMvivyuH,sam_vye1,pft. ac. pl. 3,NA,,
