s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,nijastrIcawulAlasAnAM,nija-strI-cawu-lAlasA,g. pl. m.,NA,rartisambanxah,1
1,madena,mada,i. sg. m.,NA,karanam,7
2,kiYcit,kiYcit,ind.,NA,sambanxah,8
3,cawulAlasAnAM,cawulAlasa,g. pl. m.,NA,viseranam,4
4,vihaNgamAnAm,vihaNgama,g. pl. m.,NA,rartisambanxah,5
5,utpiYjalajAtapatrEH,utpiYjala-jAta-patra,i. pl. n.,NA,viseranam,6
6,jalajAtapatrEH,jalaja-Ata-patra,i. pl. n.,NA,hewuh,7
7,CAyAM,CAyA,acc. sg. f.,NA,karma,12
8,kurvARam,kf3,ppr. md.,NA,bavalakranasapwami_samanakalah,12
9,asO,adas,nom. sg. m.,NA,karwa,12
10,giriM,giri,acc. sg. m.,NA,viseranam,9
11,rEvatakaM,rEvataka,acc. sg. m.,NA,karma,12
12,dadarSa,dfS1,pft. ac. sg. 3,NA,,
