s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,mahAmahAnIlaSilArucaH,mahA-mahA-nIlaSilA-ruc,g. sg. m.,NA,viseranam,1
1,kaMsakfzaH,kaMsa-kfza,g. sg. m.,NA,rartisambanxah,2
2,puraH,puraH,ind.,NA,viseranam,5
3,uccakEH,uccakEH,ind.,NA,viseranam,4
4,vizware,vizwara,loc. sg. m.,NA,axikaranam,5
5,nizedivAn,ni_zadalf,pp.,NA,viseranam,6
6,saH,tad,nom. sg. m.,NA,karwa,11
7,aBisAyam,aBi--sAyam,ind.,NA,sambanxah,9
8,SritaudayAdreH,Srita-udayAdri,g. sg. m.,NA,viseranam,9
9,candramasaH,candramas,g. sg. m.,NA,rartisambanxah,10
10,aBirAmatAm,aBirAmatA,acc. sg. f.,NA,karma,11
11,acUcurat,cur1_Ric,aor. ac. sg. 3,NA,,
