s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,laGu,laGu,nom. sg. n.,NA,viseranam,3
1,api,api,ind.,NA,sambanxah,0
2,etat,etad,nom. sg. n.,NA,viseranam,3
3,vacaH,vacas,nom. sg. n.,NA,karma,7
4,BUyasyA,BUyasI,i. sg. f.,NA,viseranam,5
5,vAcA,vAc,i. sg. f.,NA,karwa,7
6,na,na,ind.,NA,sambanxah,7
7,atiSayyate,ati_SI1,pr. sg. 3,NA,,
8,inDanaOGaDak,inDana-OGa-dah,nom. sg. m.,NA,karwa,14
9,api,api,ind.,NA,sambanxah,8
10,agniH,agni,nom. sg. m.,NA,karwqsamanaxikaranam,14
11,tvizA,tviz,i. sg. f.,NA,hewuh,12
12,pUzaRaM,pUz1,acc. sg. n.,NA,karma,14
13,na,na,ind.,NA,sambanxah,14
14,atyeti,ati_i1,pr. ac. sg. 3,NA,,
