s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,aBimuKapatitEH,aBimuKa_pat1,pp.,NA,viseranam,5
1,ujjvalAm,ujjvalA,acc. sg. f.,NA,viseranam,2
2,udDatiM,udDati,acc. sg. f.,NA,karma,3
3,daDAnEH,DA1,ppr. md.,NA,bavalakranasapwami_samanakalah,11
4,aNganAnAm,aNgana,g. pl. n.,NA,rartisambanxah,5
5,agrahastEH,agra-hasta,i. pl. m.,NA,karwa,11
6,guRaprakarzAt,guRa-prakarza,abl. sg. m.,NA,hewuh,7
7,avajitaM,ava_ji1,pp.,NA,viseranam,10
8,tarukisalayajAlaM,tarukisalaya-jAla,nom. sg. n.,NA,viseranam,10
9,prasaBaM,prasaBa,nom. sg. n.,NA,viseranam,10
10,BaNgam,BaNga,nom. sg. n.,NA,karma,11
11,anIyata,nI1,impft. ps. sg. 3,NA,,
