s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,nfsiMha,nfsiMha,voc. sg. m.,NA,samboxyah,11
1,atanuM,atanu,acc. sg. f.,NA,viseranam,3
2,sEMhIM,sEMhI,acc. sg. f.,NA,viseranam,3
3,tanuM,tanu,acc. sg. f.,NA,karma,4
4,biBratA,Bf2,ppr. ac,NA,viseranam,8
5,sawACawABinnaGanena,sawA-CawA-BinnaGana,i. sg. m.,NA,viseranam,8
6,mugDakAntAstanasaNgaBaNgurEH,mugDakAntAstana-saNga-BaNgura,i. pl. m.,NA,viseranam,7
7,naKEH,naKa,i. pl. m.,NA,karanam,11
8,tvayA,yuzmad,i. sg. *.,NA,karwa,11
9,urasvidAram,urovidAra,ind.,NA,kriyaviseranam,11
10,saH,tad,nom. sg. m.,NA,karma,11
11,praticaskare,prati-kf2,pft. pl. 3,NA,,
