s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,trAsaAkulaH,trAsa-Akula,nom. sg. m.,NA,karwa,3
1,niketAn,niketa,acc. pl. m.,NA,upapaxasambanxah,2
2,paritaH,paritaH,ind.,NA,sambanxah,3
3,paripatan,pari_pad1,ppr. ac,NA,bavalakranasapwami_samanakalah,10
4,mfgaH,mfga,nom. sg. m.,NA,karma,10
5,kEScit,kEScit,ind.,NA,viseranam,8
6,api,api,ind.,NA,sambanxah,5
7,DanviBiH,Danvin,i. pl. m.,NA,viseranam,8
8,pumBiH,pums,i. pl. m.,NA,karwa,10
9,na,na,ind.,NA,sambanxah,10
10,anvabanDi,anu_banD1,aor. ps. sg. 3,NA,,
