s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,mAninaH,mAnin,nom. pl. m.,NA,karwa,3
1,parAn,para,acc. pl. m.,NA,karma,3
2,samUlaGAtaM,samUla-GAta,acc. sg. m.,NA,kriyaviseranam,3
3,aGnantaH,han1,ppr. ac,NA,bavalakranasapwami_samanakalah,5
4,na,na,ind.,NA,sambanxah,5
5,udyanti,ut_i1,pr. ac. pl. 3,NA,,
6,tatra,tatra,ind.,NA,axikaranam,10
7,praDvaMsitaanDatamasaH,praDvaMsita-anDatamasa,nom. sg. m.,NA,viseranam,8
8,raviH,ravi,nom. sg. m.,NA,karwa,10
9,udAharaRam,udAharaRa,nom. sg. n.,NA,karwqsamanaxikaranam,10
10,asti,as2,pr. ac. sg. 3,NA,,
