s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,BUmiBftAM,BUmiBft,g. pl. m.,NA,rartisambanxah,1
1,sahasrEH,sahasra,i. pl. m.,NA,karanam,11
2,kftAspadA,kftAspadA,nom. sg. f.,NA,viseranam,4
3,udanvatamBaHparivItamUrtiH,udanvat-amBas-parivIta-mUrti,nom. sg. f.,NA,viseranam,4
4,pfTvI,pfTvI,nom. sg. f.,NA,karma,11
5,yA,yad,nom. sg. f.,NA,viseranam,4
6,anirvidA,anirvid,i. sg. m.,NA,viseranam,7
7,viDAtrA,viDAtf,i. sg. m.,NA,karwa,11
8,pfTivyAH,pfTivI,g. sg. f.,NA,rartisambanxah,9
9,pratiyAtanA,pratiyAtanA,nom. sg. f.,NA,prawiyogi,10
10,iva,iva,ind.,NA,anuyogi,4
11,vidaDe,vi_DA1,pft. ps. sg. 3,NA,,
