s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,tvazwuH,tvazwf,g. sg. m.,NA,rartisambanxah,1
1,sadAaByAsagfhItaSilpavijYAnasampatprasarasya,sadA-aByAsa-gfhIta-Silpa-vijYAna-sampa-prasara,g. sg. m.,NA,rartisambanxah,2
2,sImA,sImA,nom. sg. f.,NA,karwa,10
3,yA,yad,nom. sg. f.,NA,viseranam,6
4,AdarSatalaamalezu,AdarSa-tala-amala,loc. pl. n.,NA,viseranam,6
5,jalaDeH,jalaDi,g. sg. m.,NA,rartisambanxah,6
6,jalezu,jala,loc. pl. n.,NA,axikaranam,10
7,svaH,svaH,ind.,NA,rartisambanxah,8
8,CAyA,CAyA,nom. sg. f.,NA,prawiyogi,9
9,iva,iva,ind.,NA,anuyogi,2
10,adfSyata,dfS1,impft. ps. sg. 3,NA,,
