s_no,word,lemma,morph,true_node,dep_tag,to_node
0,aDastAt,aDastAt,conj.,1,apaxanam,5
1,nirjitakalApaBarAM,tad,acc. sg. f.,4,viseranam,4
2,vyAkIrRamAlyakabarAM,tad,acc. sg. f.,5,viseranam,4
3,taruRyAH,taruRI,g. sg. f.,7,rartisambanxah,4
4,kabarIM,tad,acc. sg. f.,8,karma,5
5,dfzwvA,dfS,abs.,10,purvakalah,10
6,eva,eva,conj.,9,sambanxah,5
7,sapadi,sapadi,conj.,11,viseranam,10
8,candrakavAn,tad,nom. sg. m.,12,karwa,10
9,drumaagrAt,agra,abl. sg. n.,13,apaxanam,10
10,prAdudruvat,dru,impft. ac. sg. 3,14,samucciwam,18
11,taTA,taTA,conj.,15,sambanxah,10
12,hi,hi,conj.,16,sambanxah,17
13,saNGarziRA,tad,inst. sg. m.,18,karanam,17
14,guRAByaDikEH,aByaDika,inst. pl. m.,22,upapaxasambanxah,15
15,saha,saha,conj.,24,sambanxah,17
16,durAsam,ASA,nom. sg. n.,26,karwa,17
17,Bavati,BU,pr. ac. sg. 3,27,samucciwam,18
18,ca,ca,conj.,28,,
