s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,yatra,yatra,ind.,NA,viseranam,4
1,Cannezu,Canna,loc. pl. n.,NA,viseranam,4
2,api,api,ind.,NA,sambanxah,1
3,spazwatarezu,spazwatara,loc. pl. n.,NA,viseranam,4
4,nArIkucamaRqalezu,nArI-kuca-maRqala,loc. pl. n.,NA,axikaranam,13
5,svacCAni,svacCa,nom. pl. n.,NA,viseranam,6
6,ambarARi,ambara,nom. pl. n.,NA,karwa,13
7,kevalaM,kevala,ind.,NA,sambanxah,8
8,nAmataH,nAmataH,ind.,NA,viseranam,10
9,na,na,ind.,NA,sambanxah,8
10,arTataH,arTa,ind.,NA,apaxanam,13
11,api,api,ind.,NA,sambanxah,13
12,AkASasAmyam,AkASa-sAma1,acc. sg. n.,NA,karma,13
13,daDuH,DA1,pft. ac. pl. 3,NA,,
