s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,ayukCadagucCasuganDayaH,ayukCadagucCa-suganDi,nom. pl. m.,NA,viseranam,3
1,aliBiH,ali,i. pl. m.,NA,karanam,9
2,tatagAnagiraH,tatagAna-gir,nom. pl. m.,NA,viseranam,3
3,satatagAH,satata-ga,nom. pl. m.,NA,karwa,9
4,kftamadam,kfta-mada,acc. sg. m.,NA,viseranam,6
5,AkulIkftajagattrayam,AkulIkftajagat-traya,acc. sg. m.,NA,viseranam,6
6,UrjamataNgajaM,UrjamataNga-ja,acc. sg. m.,NA,karma,7
7,nigadantaH,ni_gad2,ppr. ac,NA,prawiyogi,8
8,iva,iva,ind.,NA,anuyogi,3
9,vavuH,vA1,pft. ac. pl. 3,NA,,
