s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,mahIyasAM,mahIyas,g. pl. m.,NA,rartisambanxah,4
1,pareRa,para,i. sg. m.,NA,karanam,6
2,api,api,ind.,NA,sambanxah,1
3,mahimnA,mahiman,i. sg. m.,NA,hewuh,4
4,tfptiyogaH,tfptiyoga,nom. sg. m.,NA,karwa,6
5,na,na,ind.,NA,sambanxah,6
6,Bavati,BU1,pr. ac. sg. 3,NA,,
7,pUrRaH,pUrRa,nom. sg. m.,NA,viseranam,9
8,candrodayaAkANkzI,candrodaya-AkANkzin,nom. sg. m.,NA,viseranam,9
9,mahArRavaH,mahArRava,nom. sg. m.,NA,karwa,12
10,atra,atra,ind.,NA,axikaranam,12
11,dfzwAntaH,dfzwAnta,nom. sg. m.,NA,karwqsamanaxikaranam,12
12,asti,as2,pr. ac. sg. 3,NA,,
