s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,gataBartfkAH,gata-BartfkAH,nom. pl. f.,NA,karwa,5
1,aparAH,aparA,nom. pl. f.,NA,viseranam,0
2,kusumakArmukakArmukasaMhitadrutaSilImuKaKaRqitavigrahAH,kusumakArmukakArmukasaMhitadrutaSilImuKaKaRqita-vigrahA,nom. pl. f.,NA,viseranam,0
3,maraRam,maraRa,acc. sg. n.,NA,karma,5
4,api,api,ind.,NA,sambanxah,3
5,pratipedire,prati-pad1,pft. md. pl. 3,NA,,
6,muhuH,muhuH,ind.,NA,kriyaviseranam,7
7,mumuhuH,muh1,pft. ac. pl. 3,NA,prawiyogi,8
8,iti,iti,ind.,NA,anuyogi,9
9,kimu,kimu,ind.,NA,sambanxah,7
