s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,BUruhAM,BU-ruhA,g. pl. m.,NA,rartisambanxah,1
1,sarajasamakarandanirBarAsu,sarajasamakaranda-nirBarA,loc. pl. f.,NA,viseranam,2
2,prasavaviBUtizu,prasava-viBUti,loc. pl. f.,NA,axikaranam,3
3,viraktaH,vi_raYj2,pp.,NA,viseranam,6
4,amftapanAmavAYCayA,amftapanAma-vAYCayA,i. sg. f.,NA,hewuh,5
5,asO,adas,nom. sg. m.,NA,viseranam,6
6,maDupaH,maDu-pA,nom. sg. m.,NA,karwa,10
7,amuM,adas,acc. sg. m.,NA,viseranam,9
8,tava,yuzmad,g. sg. *.,NA,rartisambanxah,9
9,aDaram,aDara,acc. sg. m.,NA,karma,10
10,AjihIte,A_hA1,pr. md. sg. 3,NA,,
11,Druvam,Druva,ind.,NA,sambanxah,10
