s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,budDiSastraH,budDiSastra,nom. sg. m.,NA,viseranam,6
1,prakftiaNgaH,prakfti-aNga,nom. sg. m.,NA,viseranam,6
2,GanasaMvftikaYcukaH,Gana-saMvfti-kaYcuka,nom. sg. m.,NA,viseranam,6
3,cArekzaRaH,cArekzaRa,nom. sg. m.,NA,viseranam,6
4,dUtamuKaH,dUtamuKa,nom. sg. m.,NA,viseranam,6
5,evamBUtaH,evamBUta,nom. sg. m.,NA,viseranam,6
6,pArTivaH,pArTiva,nom. sg. m.,NA,karwa,10
7,kaH,kim,nom. sg. m.,NA,viseranam,9
8,api,api,ind.,NA,sambanxah,7
9,puruzaH,puruza,nom. sg. m.,NA,karwqsamanaxikaranam,10
10,asti,as2,pr. ac. sg. 3,NA,,
