s_no,word,lemma,morph,true_node,dep_tag,to_node
0,iti,iti,conj.,0,prawiyogi,1
1,sarasi,sarasI,voc. sg. f.,1,anuyogi,2
2,majjanena,tad,nom. sg. n.,2,hewuh,3
3,DOtapuranDrimatsarAn,matsara,acc. pl. m.,4,viseranam,8
4,atiSAyinIM,SAyin,acc. sg. f.,7,viseranam,5
5,Sriyam,SrI,acc. sg. f.,8,karma,6
6,AptavataH,Ap,pp. . pl. ,13,viseranam,8
7,apamalANgaBAsaH,BAs,acc. pl. m.,18,viseranam,8
8,yAdavAn,yAdava,acc. pl. m.,19,karma,9
9,avalokya,ca,conj.,20,purvakalah,18
10,tadA,tadA,conj.,3,axikaranam,18
11,eva,eva,conj.,21,sambanxah,10
12,SiSiretararocizA,rocis,inst. sg. n.,34,karwa,18
13,api,api,conj.,22,sambanxah,12
14,aparavArirASeH,rASi,g. sg. m.,24,rartisambanxah,15
15,apAm,ap,g. pl. f.,26,rartisambanxah,16
16,tatizu,tati,loc. pl. f.,27,axikaranam,17
17,maNktum,tad,conj.,28,prayojanam,18
18,Ize,iz,pft. md. sg. 3,32,,
