s_no,word,lemma,morph,true_node,dep_tag,to_node
0,muditamaDuBujaH,Buja,nom. pl. f.,0,viseranam,1
1,SAKAH,SAKA,nom. pl. f.,2,karwa,4
2,Bujena,Buja,inst. sg. m.,3,karanam,4
3,calitaviSfNKalaSaNKakaM,SaNKaka,acc. sg. n.,4,karma,4
4,DuvatyAH,Du,nom. sg. f.,5,viseranam,5
5,atiSayitAparAaNganAyAH,aNganA,g. sg. f.,7,rartisambanxah,6
6,Sirasi,Siras,loc. sg. n.,8,axikaranam,11
7,taruH,taru,nom. sg. m.,9,karwa,11
8,mudA,mud,nom. sg. f.,12,prawiyogi,9
9,iva,iva,conj.,13,anuyogi,7
10,puzpavarzaM,varza,acc. sg. m.,14,karma,11
11,mumoca,muc,pft. ac. sg. 1,18,,
