s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,nArIBiH,nArI,i. pl. f.,NA,karwa,10
1,gurujaGanasTalaAhatAnAm,gurujaGanasTala-Ahata,g. pl. m.,NA,viseranam,2
2,AsyaSrIvijitavikAsivArijAnAM,AsyaSrIvijitavikAsi-vArija,g. pl. m.,NA,rartisambanxah,3
3,lolatvAt,lolatva,abl. sg. n.,NA,hewuh,5
4,tadaNgarAgam,tadaNga-rAga,acc. sg. m.,NA,karma,5
5,apaharatAM,apa-hf1,ppr. ac,NA,viseranam,6
6,jalAnAM,jala,g. pl. n.,NA,rartisambanxah,7
7,saH,tad,nom. sg. m.,NA,viseranam,8
8,ASayaH,ASaya,nom. sg. m.,NA,karma,10
9,kaluzaH,kaluza,nom. sg. m.,NA,karmasamanaxikaranam,10
10,saYjajYe,sam_jYA2,pft. ps. sg. 3,NA,,
