s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,mAninA,mAnin,i. sg. m.,NA,viseranam,2
1,anena,idam,i. sg. m.,NA,viseranam,2
2,rAvaRena,rAvaRa,i. sg. m.,NA,karwa,6
3,vidagDalIlAucitadantapatrikAviDitsayA,vidagDa-lIlA-ucita-dantapatrikA-viDitsA,i. sg. f.,NA,hewuh,4
4,nUnaM,nUnam,ind.,NA,sambanxah,5
5,jAtu,jAtu,ind.,NA,kriyaviseranam,6
6,udDftaM,ud_Df1,pp.,NA,viseranam,7
7,vEnAyakam,vEnAyaka,nom. sg. n.,NA,karwa,14
8,ekaM,eka,nom. sg. n.,NA,viseranam,7
9,vizARam,vizARa,nom. sg. n.,NA,viseranam,7
10,adya,adya,ind.,NA,sambanxah,14
11,api,api,ind.,NA,sambanxah,10
12,punaH,punaH,ind.,NA,kriyaviseranam,14
13,na,na,ind.,NA,sambanxah,14
14,prarohati,pra-ruh1,pr. sg. 3,NA,,
