s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,kzuBitasEnyaparAgavipARquradyutiH,kzuBitasEnyaparAgavipARqura-dyuti,nom. sg. m.,NA,viseranam,2
1,yaH,yad,nom. sg. m.,NA,viseranam,2
2,loDrarajaScayaH,loDrarajaS-caya,nom. sg. m.,NA,karwa,6
3,BuvanAni,Buvana,acc. pl. n.,NA,karma,4
4,aBizizeRayizuM,aBizizeRayizum,acc. sg. m.,NA,viseranam,5
5,smaram,smara,acc. sg. m.,NA,karma,6
6,AKyata,AN_cakz1,aor. md. sg. 3,NA,,
7,iva,iva,ind.,NA,sambanxah,6
8,ayaM,idam,nom. sg. m.,NA,karwa,11
9,diSaH,diS,acc. pl. f.,NA,karma,10
10,tirayan,tira_Ryanta,ppr. ac,NA,bavalakranasapwami_samanakalah,11
11,udaBUt,ut_BU1,aor. ac. sg. 3,NA,,
