s_no,word,lemma,morph,true_node,dep_tag,to_node
0,tadA,tadA,loc. sg. n.,0,axikaranam,16
1,saH,tad,nom. sg. m.,1,karwa,16
2,kaTAvAcakamuKAt,muKa,abl. sg. n.,33,apaxanam,16
3,devatA,deva,nom. pl. f.,8,karwa,7
4,BUmO,BUmi,loc. sg. f.,9,axikaranam,7
5,na,na,part.,10,sambanxah,7
6,pAdO,pAda,acc. du. m.,11,karma,7
7,rakzati,rakz,pr. [1] ac. sg. 3,13,samucciwam,9
8,na,na,part.,14,sambanxah,11
9,ca,ca,conj.,15,samucciwam,17
10,svanayane,nayana,acc. du. n.,17,karma,11
11,nimIlati,mIl,pr. [1] ac. sg. 3,22,samucciwam,9
12,eva,eva,prep.,23,sambanxah,11
13,evam,evam,adv.,24,kriyaviseranam,14
14,SfRvan,Sru,nom. sg. m.,25,karwqsamanaxikaranam,16
15,agre,agra,loc. sg. n.,28,axikaranam,16
16,niHsftaH,sfta,nom. sg. m.,29,samucciwam,17
17,ca,ca,conj.,30,,
