s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,ananyagurvAH,ananya-gurva,g. sg. f.,NA,viseranam,2
1,tava,yuzmad,g. sg. *.,NA,viseranam,2
2,purARamUrteH,purARa-mUrti,g. sg. f.,NA,rartisambanxah,4
3,kevalaH,kevala,nom. sg. m.,NA,viseranam,4
4,mahimA,mahiman,nom. sg. m.,NA,karma,6
5,kena,kim,i. sg. m.,NA,karwa,6
6,avagamyate,ava_gam1,pr. ps. sg. 3,NA,,
7,manuzyajanmA,manuzyajanman,nom. sg. m.,NA,viseranam,9
8,api,api,ind.,NA,sambanxah,7
9,BavAn,Bavat,nom. sg. m.,NA,karwa,14
10,BavacCedakarEH,BavacCedakara,i. pl. m.,NA,viseranam,11
11,guREH,guRa,i. pl. m.,NA,karanam,14
12,surAsurAn,surAsura,acc. pl. m.,NA,upapaxasambanxah,13
13,aDaH,aDaH,ind.,NA,sambanxah,14
14,karoti,kf3,pr. ac. sg. 3,NA,,
