s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,KuraaBiGAtAt,Kura-aBiGAta,abl. sg. m.,NA,hewuh,2
1,udyatkfSAnuSakalezu,udyatkfSAnu-Sakala,loc. pl. m.,NA,viseranam,4
2,BUmIsamAyataSilAPalakaAcitezu,BUmI-samAyata-SilA-Palaka-Acita,loc. pl. m.,NA,viseranam,4
3,SElasya,SEla,g. sg. m.,NA,rartisambanxah,4
4,paryantavartmasu,paryanta-vartman,loc. pl. n.,NA,axikaranam,7
5,mahASvAH,mahASva,nom. pl. m.,NA,karma,9
6,dardurapuwAn,dardura-puwa,acc. pl. m.,NA,karma,7
7,vAdayantaH,vad2,ppr. ac,NA,prawiyogi,8
8,iva,iva,ind.,NA,anuyogi,6
9,vicakramire,vi_kram1,pft. ps. pl. 3,NA,,
