s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,iha,iha,ind.,NA,axikaranam,14
1,samADiBftaH,samADi-Bfta,nom. sg. m.,NA,viseranam,3
2,mEtryAdicittaparikarmavidaH,mEtryAdi-cittaparikarma-vida,nom. sg. m.,NA,karwa,4
3,kleSaprahARaM,kleSaprahARa,acc. sg. n.,NA,karma,4
4,viDAya,vi_DA1,abs.,NA,purvakalah,14
5,labDasabIjayogAH,labDa-sabIja-yoga,nom. pl. m.,NA,karwa,14
6,santaH,sat,nom. pl. m.,NA,viseranam,5
7,sattvapuruzaanyatayA,sattva-puruza-anyatA,i. sg. f.,NA,hewuh,8
8,KyAtiM,KyAti,acc. sg. f.,NA,karma,10
9,ca,ca,ind.,NA,sambanxah,10
10,aDigamya,aDi_gam1,abs.,NA,purvakalah,14
11,tAm,tad,acc. sg. f.,NA,karma,14
12,api,api,ind.,NA,sambanxah,14
13,nirodDuM,ni_ruD1,inf.,NA,prayojanam,14
14,vAYCanti,vAYC1,pr. ac. pl. 3,NA,,
