s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,vyomaspfSaH,vyomaspfS,acc. pl. f.,NA,viseranam,3
1,unnidrapuzpacaRacampakapiNgaBaasaH,unnidrapuzpacaRacampakapiNgaBa-asa,acc. pl. f.,NA,viseranam,3
2,kalaDOtaBittIH,kala-DOta-Bitti,acc. pl. f.,NA,viseranam,3
3,praTayatA,praT2,ppr. ac,NA,bavalakranasapwami_samanakalah,10
4,saOmeravIm,sOmeravIm,acc. sg. f.,NA,karma,10
5,nitambaSoBAm,nitamba-SoBA,acc. sg. f.,NA,viseranam,4
6,aDigatena,aDi_gam1,pp.,NA,viseranam,7
7,etena,etad,i. sg. m.,NA,karanam,10
8,BAratam,BArata,acc. sg. m.,NA,karwa,10
9,ilAvftavat,ilA-vfta-vat,ind.,NA,sambanxah,10
10,viBAti,vi_BA1,pr. ac. sg. 3,NA,,
