s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,DOtapatraleKam,DOtapatra-leKa,nom. sg. n.,NA,viseranam,2
1,kasyAScit,kiYcit,g. sg. f.,NA,rartisambanxah,2
2,muKam,muKa,nom. sg. n.,NA,upapaxasambanxah,3
3,anu,anu,ind.,NA,sambanxah,9
4,salilaBarAvalambinIBiH,salilaBarAvalambinI,i. pl. f.,NA,viseranam,6
5,kiYjalkavyatikarapiYjaraantarABiH,kiYjalkavyatikarapiYjara-antarA,i. pl. f.,NA,viseranam,6
6,alakAgravallarIBiH,alakAgra-vallarI,i. pl. f.,NA,karwa,9
7,citraSrIH,citra-SrI,nom. sg. f.,NA,karma,9
8,alaM,alam,ind.,NA,kriyaviseranam,9
9,vyAtene,vi_AN_tan1,pft. ps. sg. 3,NA,,
