s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,ucCitasitAMSukaraavalambEH,ucCita-sitAMSu-kara-avalamba,i. pl. n.,NA,viseranam,2
1,uttamBitauquBiH,uttamBita-uqu,i. pl. n.,NA,viseranam,2
2,SiroBiH,Siras,i. pl. n.,NA,karwa,4
3,atIvatarAm,atIva_tarap_Am,nom. sg. n.,NA,kriyaviseranam,4
4,utkziptam,ut_kzip1,pp.,NA,viseranam,5
5,antarikzaM,antarikza,nom. sg. n.,NA,viseranam,6
6,SradDeyanirJarajalavyapadeSam,vyapadeSa,nom. sg. n.,NA,karwa,10
7,asya,idam,g. sg. m.,NA,rartisambanxah,8
8,tawezu,tawa,loc. pl. m.,NA,axikaranam,10
9,vizvak,vizvak,ind.,NA,kriyaviseranam,10
10,patati,pat1,pr. ac. sg. 3,NA,,
11,iti,iti,ind.,NA,anuyogi,12
12,sPuwam,sPuwa,ind.,NA,sambanxah,10
