s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,aTa,aTa,ind.,NA,sambanxah,4
1,yozARAm,yozA,g. pl. f.,NA,rartisambanxah,2
2,AkfzwapratanuvapurlatEH,Akfzwapratanu-vapurlata,i. pl. m.,NA,viseranam,6
3,prasftavilolabAhupakzEH,prasftavilolabAhu-pakza,i. pl. m.,NA,viseranam,6
4,taradBiH,tF1,ppr. ac,NA,viseranam,6
5,uruBiH,uru,i. pl. m.,NA,viseranam,6
6,urojagaRqaSElEH,urojagaRqa-SEla,i. pl. m.,NA,karwa,11
7,tasya,tad,g. sg. m.,NA,viseranam,8
8,saromahAarRavasya,saromahA-arRava,g. sg. m.,NA,rartisambanxah,9
9,tat,tad,nom. sg. n.,NA,viseranam,10
10,amBaH,amBas,nom. sg. n.,NA,karma,11
11,akzoBi,kzuB2,aor. ps. sg. 3,NA,,
