s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,puruzakaunnamitaagrakAyaH,puruzaka-unnamita-agra-kAya,nom. sg. m.,NA,viseranam,3
1,udayaSElamUrDnaH,udaya-SEla-mUrDnaH,abl. sg. m.,NA,apaxanam,5
2,arDoditaH,arDodita,nom. sg. m.,NA,viseranam,3
3,hariH,hari,nom. sg. m.,NA,prawiyogi,4
4,iva,iva,ind.,NA,anuyogi,7
5,sTitaH,sTA1,pp.,NA,,
6,uccEH,uccEH,ind.,NA,viseranam,7
7,SrIvfkzakI,SrI-vfkzakI,nom. sg. f.,NA,karwa,12
8,dantaalikADaraRaniScalapARiyugmaM,danta-alikA-DaraRa-niScala-pARi-yugma,acc. sg. m.,NA,viseranam,9
9,vallaBapAlaM,vallaBa-pAla,acc. sg. m.,NA,karma,12
10,stokena,stokena,ind.,NA,kriyaviseranam,12
11,na,na,ind.,NA,sambanxah,12
12,aAkramata,AN_kram1,pft. md. sg. 3,NA,,
