s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,vidvAn,vidvas,nom. sg. m.,NA,viseranam,4
1,tasyAM,tad,loc. sg. f.,NA,viseranam,2
2,puri,pur,loc. sg. f.,NA,axikaranam,14
3,dattacakzuH,datta-cakzu,nom. sg. m.,NA,viseranam,4
4,asO,adas,nom. sg. m.,NA,karwa,14
5,nirantarABiH,nirantarA,i. pl. f.,NA,viseranam,6
6,anIkinIBiH,anIkinI,i. pl. f.,NA,karwa,12
7,nirucCvAsaM,nirucCvAsa,acc. sg. n.,NA,viseranam,8
8,vartma,vartman,acc. sg. n.,NA,karma,14
9,upeyuzaH,upeyivas,g. sg. m.,NA,viseranam,10
10,raTasya,raTa,g. sg. m.,NA,rartisambanxah,12
11,SanEH,SanEH,ind.,NA,kriyaviseranam,12
12,yAtaM,yA1,pp.,NA,,
13,na,na,ind.,NA,sambanxah,14
14,vidAmAsa,vid1,pft. ac. sg. 3,NA,,
