s_no,word,lemma,morph,true_node,dep_tag,to_node
0,yatra,yatra,conj.,0,axikaranam,11
1,puMsAM,tad,g. pl. m.,1,rartisambanxah,2
2,pramadAya,pramada,dat. sg. m.,2,waxarwyam,5
3,apratiyatnapUrvAM,pUrva,acc. sg. f.,4,viseranam,4
4,suganDitAM,suganDitA,acc. sg. f.,5,karma,5
5,biBranti,Bf,nom. pl. n.,7,bavalakranasapwami_samanakalah,11
6,maDUni,maDu,nom. pl. n.,9,samucciwam,9
7,kAminInAM,kAminI,g. pl. f.,10,rartisambanxah,8
8,vaktrARi,vaktra,nom. pl. n.,12,samucciwam,9
9,ca,ca,conj.,15,karwa,11
10,AmodakarmavyatihAram,tad,acc. sg. m.,14,karma,11
11,IyuH,i,pft. ac. pl. 3,13,,
