s_no,word,lemma,morph,true_node,dep_tag,to_node
0,tataH,tad,loc. sg. m.,0,axikaranam,4
1,ekaH,eka,nom. sg. m.,1,viseranam,2
2,vfzaBaH,vfzaBa,nom. sg. m.,2,karma,10
3,dvitIyena,dvitIya,i. sg. m.,3,karwa,10
4,taTA,taTA,adv.,5,kriyaviseranam,10
5,prahftaH,tad,nom. sg. m.,6,prawiyogi,4
6,yaTA,yaTA,conj.,7,viseranam,7
7,tasya,tad,g. sg. n.,8,rartisambanxah,8
8,vakzasaH,vakzas,abl. sg. n.,11,apaxanam,10
9,ruDiram,tad,acc. sg. m.,18,karma,10
10,niragacCat,gam,impft. [1] ac. sg. 3,19,samucciwam,12
11,pIqayA,pIqA,i. sg. f.,20,hewuh,15
12,ca,ca,conj.,21,,
13,saH,tad,nom. sg. m.,22,karwa,15
14,dUram,dUra,adv.,25,kriyaviseranam,15
15,aDAvat,DAv,impft. [1] ac. sg. 3,27,samucciwam,12
