s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,aMsamAtre,aMsamAtra,loc. sg. n.,NA,axikaranam,3
1,payasi,payas,loc. sg. n.,NA,axikaranam,3
2,taddaGnam,taddaGna,acc. sg. m.,NA,viseranam,3
3,tizWantaM,sTA1,ppr. ac,NA,viseranam,4
4,pumAMsam,pumAMs,acc. sg. m.,NA,karma,5
5,vIkzya,vi_Ikz1,abs.,NA,purvakalah,16
6,AtmanaH,Atman,g. sg. m.,NA,rartisambanxah,8
7,api,api,ind.,NA,sambanxah,6
8,tat,tad,acc. sg. n.,NA,karma,9
9,avayatI,ava_i1_Ric,ppr. ac,NA,bavalakranasapwami_samanakalah,16
10,kila,kila,ind.,NA,sambanxah,11
11,sutanuH,sutanu,nom. sg. f.,NA,viseranam,13
12,mOgDyAt,mOgDyAt,abl. sg. n.,NA,hewuh,13
13,aBIH,aBI,nom. sg. f.,NA,karwa,16
14,satI,as2,ppr. ac,NA,viseranam,13
15,aByetum,aBi_i1,inf.,NA,prayojanam,16
16,iyeza,iz3,pft. ac. sg. 3,NA,,
