s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,turaNgAt,turaNga,abl. sg. m.,NA,apaxanam,2
1,rAjAavaroDanavaDUH,rAjA-avaroDana-vaDU,acc. pl. f.,NA,karma,2
2,avatArayantaH,ava_tF1_Ric,ppr. md.,NA,bavalakranasapwami_samanakalah,7
3,aDikftAH,aDi_kf2,pp.,NA,viseranam,4
4,kaRWaavasaktamfdubAhulatAH,kaRWa-avasakta-mfdu-bAhu-latA,nom. pl. m.,NA,karwa,7
5,sPuwam,sPuwa,ind.,NA,kriyaviseranam,7
6,AliNganAni,AliNgana,acc. pl. n.,NA,karma,7
7,ApuH,Ap1,pft. ac. pl. 3,NA,,
8,eva,eva,ind.,NA,sambanxah,7
9,AsAM,idam,g. pl. f.,NA,rartisambanxah,10
10,gaRqasTalIH,gaRqasTalI,acc. pl. f.,NA,karma,13
11,SucitayA,SucitA,i. sg. f.,NA,hewuh,12
12,na,na,ind.,NA,sambanxah,13
13,cucumbuH,cumb1,pft. ac. pl. 3,NA,,
