s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,panTAnam,paTin,acc. sg. m.,NA,karma,2
1,ASu,ASu,ind.,NA,kriyaviseranam,2
2,vijahIhi,vi_hA1,imp.,NA,,
3,puraH,pur,g. sg. f.,NA,rartisambanxah,4
4,te,yuzmad,g. sg. *.,NA,rartisambanxah,5
5,stanO,stana,acc. du. m.,NA,karma,6
6,paSyan,dfS1,ppr. ac,NA,bavalakranasapwami_samanakalah,16
7,pratidviradakumBaviSaNkicetAH,prati-dvirada-kumBa-viSaNkin-cetas,nom. sg. m.,NA,viseranam,10
8,stamberamaH,stambe-rama,nom. sg. m.,NA,viseranam,10
9,pariRinaMsuH,pariRinaMsu,nom. sg. m.,NA,viseranam,10
10,asO,adas,nom. sg. m.,NA,karwa,11
11,upEti,upa_i1,pr. ac. sg. 3,NA,,
12,ziNga,ziNga,nom. pl. m.,NA,karwa,16
13,ekA,ekA,nom. sg. f.,NA,karma,16
14,evam,evam,ind.,NA,sambanxah,16
15,sasamBramam,sasamBrama,nom. sg. n.,NA,kriyaviseranam,16
16,agadyata,gad1,impft. ps. sg. 3,NA,,
