s_no,word,lemma,morph,true_node,dep_tag,to_node
0,yat,yad,acc. sg. n.,35,viseranam,2
1,rajaH,rajas,acc. sg. n.,15,viseranam,2
2,pAdAhataM,hata,acc. sg. n.,40,karma,4
3,sat,sat,acc. sg. n.,7,viseranam,2
4,utTAya,sTA,abs.,10,purvakalah,5
5,AhantuH,han,g. sg. m.,9,rartisambanxah,6
6,mUrDAnam,mUrDan,acc. sg. m.,11,karma,7
7,aDirohati,ruh,pr. ac. sg. 3,12,samucciwam,17
8,tad,tad,nom. sg. n.,14,viseranam,9
9,rajaH,rajas,nom. sg. n.,2,karwa,16
10,apamAne,apamAna,loc. sg. m.,17,axikaranam,16
11,api,api,conj.,21,sambanxah,10
12,svasTAt,svasTa,abl. sg. m.,23,viseranam,13
13,dehinaH,dehin,abl. sg. m.,28,apaxanam,16
14,varam,vara,conj.,31,sambanxah,16
15,eva,eva,conj.,32,sambanxah,14
16,Bavati,BU,pr. ac. sg. 3,33,samucciwam,17
17,ca,ca,conj.,34,,
