s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,nIhArajAlamalinaH,nIhAra-jAla-malina,nom. sg. m.,NA,karwa,3
1,vaDUjanavilocanapakzmamAlAH,vaDUjana-vilocana-pakzma-mAlA,acc. pl. f.,NA,viseranam,2
2,punaruktasAndrAH,punarukta-sAndrA,acc. pl. f.,NA,karma,3
3,kurvan,kf3,ppr. ac,NA,bavalakranasapwami_samanakalah,14
4,kzaRaM,kzaRa,ind.,NA,kriyaviseranam,8
5,yadubalEH,yadu-bala,i. pl. n.,NA,karwa,8
6,kzuRRaH,kzuRRa,nom. sg. m.,NA,karma,8
7,adreH,adri,abl. sg. m.,NA,apaxanam,8
8,utTitaH,ud_sTA1,pp.,NA,viseranam,11
9,divam,diva,acc. sg. n.,NA,karma,10
10,AtitAMsuH,Ati-tAMsuH,nom. sg. m.,NA,viseranam,11
11,paaMSuH,pAMSu,nom. sg. m.,NA,karwa,14
12,diSAM,diS,g. pl. f.,NA,rartisambanxah,13
13,muKam,muKa,acc. sg. n.,NA,karma,14
14,atutTayat,tutTa1,impft. ac. sg. 3,NA,,
