s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,himalavasadfSaH,himalava-sadfS,acc. sg. m.,NA,viseranam,1
1,SramodabindUn,Sramoda-bindu,acc. pl. m.,NA,karma,9
2,apanayatA,apa_nI1,ppr. ac,NA,viseranam,4
3,kila,kila,ind.,NA,sambanxah,2
4,taruRena,taruRa,i. sg. m.,NA,karwa,9
5,nUtanoQavaDvAH,nUtanoQa-vaDU,g. sg. f.,NA,rartisambanxah,6
6,kucakalaSakiSorakO,kucakalaSa-kiSoraka,acc. du. m.,NA,karma,9
7,kaTaYcit,kaTaYcit,ind.,NA,kriyaviseranam,9
8,taralatayA,taralatA,i. sg. f.,NA,hewuh,9
9,paspfSAte,spfS,pft. sg. 3,NA,,
