s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,samaramayam,samara-maya,acc. sg. m.,NA,viseranam,2
1,akftrimam,akftrima,acc. sg. m.,NA,viseranam,2
2,anurAgaM,anu-rAga,acc. sg. m.,NA,karma,3
3,prakawayati,pra_kaw2_Ric,ppr. ac,NA,bavalakranasapwami_samanakalah,12
4,sutarAm,sutarAm,ind.,NA,viseranam,5
5,upakAriRi,upa-kAri,loc. sg. n.,NA,viseranam,6
6,himaftO,hima-ftu,loc. sg. m.,NA,axikaranam,12
7,api,api,ind.,NA,sambanxah,6
8,BfSasvidaH,BfSa-svidaH,nom. pl. f.,NA,viseranam,10
9,tAH,tad,nom. pl. f.,NA,viseranam,10
10,yuvatayaH,yuvati,nom. pl. f.,NA,karwa,12
11,vilAsinaH,vilAsin,acc. pl. m.,NA,karma,12
12,ramayanti,ram1_Ric,pr. ac. pl. 3,NA,,
13,sma,sma,ind.,NA,sambanxah,12
