s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,iha,iha,ind.,NA,axikaranam,9
1,viralavikIrRavajraSakalA,virala-vikIrRa-vajraSakalA,nom. sg. f.,NA,viseranam,2
2,DOtakalaDOtamahI,DOta-kalaDOta-mahI,nom. sg. f.,NA,karwa,9
3,jaladena,jalada,i. sg. m.,NA,karanam,9
4,anaticirojJitasya,anati-cirojJita,g. sg. n.,NA,viseranam,6
5,cirasTitabudbudasya,cira-sTita-budbuda,g. sg. n.,NA,viseranam,6
6,payasaH,payas,g. sg. n.,NA,rartisambanxah,7
7,sakalAm,sakalA,acc. sg. f.,NA,viseranam,8
8,anukftiM,anukfti,acc. sg. f.,NA,karma,9
9,vidaDAti,vi_DA1,pr. sg. 3,NA,,
