s_no,word,lemma,morph,true_node,dep_tag,to_node
0,svacCAmBaHsnapanaviDOtam,viDu,nom. sg. n.,5,viseranam,1
1,aNgaM,aNga,nom. sg. n.,7,samucciwam,7
2,tAmbUladyutiviSadaH,viSada,nom. sg. m.,9,viseranam,3
3,ozWaH,ozWa,nom. sg. m.,10,samucciwam,7
4,pratanu,pratanu,nom. sg. n.,11,viseranam,6
5,viviktaM,vac,pp. . sg. ,14,viseranam,6
6,vAsaH,vAsas,nom. sg. n.,16,samucciwam,7
7,ca,ca,conj.,30,karwa,12
8,iti,iti,conj.,0,prawiyogi,9
9,IyAn,tad,nom. sg. m.,20,anuyogi,10
10,vilAsinInAm,vilAsinI,g. pl. f.,22,rartisambanxah,11
11,AkalpaH,Akalpa,nom. sg. m.,23,karwqsamanaxikaranam,12
12,astu,as,imp. ac. sg. 3,24,samucciwam,18
13,yadi,yadi,conj.,25,sambanxah,17
14,kusumezuRA,kusumezu,inst. sg. m.,26,karanam,17
15,SUnyaH,SUnya,nom. sg. m.,27,karwa,17
16,na,na,conj.,28,sambanxah,17
17,syAt,as,opt. ac. sg. 3,29,samucciwam,18
18,ca,ca,conj.,21,,
