s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,yadi,yadi,ind.,NA,sambanxah,6
1,vyomni,vyoman,loc. sg. m.,NA,axikaranam,6
2,AkASagaNgApayasaH,AkASagaNgA-payas,g. sg. n.,NA,rartisambanxah,5
3,pfTak,pfTak,ind.,NA,kriyaviseranam,6
4,uBO,uBa,nom. du. m.,NA,viseranam,5
5,pravAhO,pravAha,nom. du. m.,NA,karwa,6
6,patetAM,pat1,opt. ac. du. 3,NA,,
7,tarhi,tarhi,ind.,NA,sambanxah,13
8,tena,tad,i. sg. m.,NA,karwa,13
9,tamAlanIlam,tamAla-nIla,nom. sg. n.,NA,viseranam,12
10,AmuktamuktAlatam,Amukta-muktAlata,nom. sg. n.,NA,viseranam,12
11,asya,idam,g. sg. m.,NA,rartisambanxah,12
12,vakzaH,vakzas,nom. sg. n.,NA,karma,13
13,upamIyeta,upa_mA3,opt. sg. 3,NA,,
