s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,snAntInAM,snA2,ppr. ac,NA,viseranam,1
1,ruciradfSAM,rucira-dfS,g. pl. f.,NA,rartisambanxah,2
2,bfhfdamalodabinducitrO,bfhfdamalodabindu-citra,nom. du. m.,NA,viseranam,3
3,urojakumBO,uroja-kumBa,nom. du. m.,NA,karwa,11
4,utsUtrEH,utsUtra,i. pl. m.,NA,karanam,11
5,hArARAM,hAra,g. pl. m.,NA,rartisambanxah,6
6,maRiBiH,maRi,i. pl. m.,NA,karwa,9
7,guRavadupaGnakAmyayA,guRavadupaGna-kAmyA,i. sg. f.,NA,hewuh,9
8,samantAt,samantAt,ind.,NA,kriyaviseranam,9
9,upaASritO,upa_AN_Sri1,pp.,NA,prawiyogi,10
10,iva,iva,ind.,NA,anuyogi,3
11,rejAte,rAj1,pft. md. du. 3,NA,,
