s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,adrIndrakuYjacarakuYjaragaRqakAzasaNkrAntadAnapayasaH,adrIndra-kuYja-cara-kuYjara-gaRqakAza-saNkrAnta-dAna-payas,g. sg. m.,NA,rartisambanxah,1
1,senAgajena,senA-gaja,i. sg. m.,NA,karwa,5
2,maTitasya,maT1,pp.,NA,viseranam,3
3,vanapAdapasya,vana-pAdapa,g. sg. m.,NA,rartisambanxah,4
4,nijaprasUnEH,nija-prasUna,i. pl. n.,NA,karanam,5
5,mamle,mlE1,pft. sg. 1,NA,,
6,alInAM,ali,g. pl. m.,NA,rartisambanxah,7
7,kulEH,kula,i. pl. n.,NA,karwa,9
8,yaTAAgatam,yaTA-Agata,ind.,NA,kriyaviseranam,9
9,agAmi,gam1,aor. ps. sg. 3,NA,,
