s_no,word,lemma,morph,true_node,dep_tag,to_node
0,iha,iha,conj.,0,axikaranam,18
1,raviH,ravi,nom. sg. m.,1,viseranam,15
2,darpaRanirmalAsu,nirmala,loc. pl. f.,2,viseranam,4
3,puraH,puras,conj.,4,viseranam,4
4,rOpyaBittizu,Bitti,loc. pl. f.,5,axikaranam,5
5,patite,pat,loc. sg. m.,7,viseranam,7
6,Ganatimiramuzi,muz,loc. sg. m.,8,viseranam,7
7,jyotizi,jyotis,loc. sg. m.,9,karwa,10
8,kAYcanakandarAsu,kandara,loc. pl. f.,10,axikaranam,10
9,muhuH,muhur,conj.,11,viseranam,10
10,pratiPalati,Pal,nom. sg. n.,12,purvakalah,18
11,sati,as,nom. sg. n.,14,viseranam,10
12,ramaREH,ramaRa,inst. pl. m.,16,karanam,18
13,apahftavasanAH,vasana,acc. pl. f.,17,viseranam,14
14,taruRIH,taruRI,acc. pl. f.,18,karma,18
15,asammuKaH,tad,nom. sg. m.,20,karwa,18
16,api,api,conj.,21,sambanxah,15
17,vrIqaM,vrIqa,acc. sg. m.,23,karma,18
18,nayati,nI,pr. ac. sg. 3,24,,
