s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,hare,hara,voc. sg. m.,NA,samboxyah,15
1,janaH,jana,nom. sg. m.,NA,karwa,9
2,mfgARAm,mfga,g. pl. m.,NA,prawiyogi,3
3,iva,iva,ind.,NA,anuyogi,4
4,kaMsaAdimahIBftAm,kaMsa-Adi-mahIBft,g. pl. m.,NA,rartisambanxah,5
5,vaDAt,vaDa,abl. sg. m.,NA,hewuh,6
6,yat,yat,ind.,NA,sambanxah,9
7,tava,yuzmad,g. sg. *.,NA,rartisambanxah,8
8,stavaM,stava,acc. sg. m.,NA,karma,9
9,karoti,kf3,pr. ac. sg. 3,NA,,
10,sA,tad,nom. sg. f.,NA,viseranam,11
11,stutikriyA,stuti-kriyA,nom. sg. f.,NA,karwa,15
12,hiraRyAkzapuraHsaraasuradvipatizaH,hiraRyAkza-puraHsara-asura-dvipa-iza,g. sg. m.,NA,rartisambanxah,14
13,pratyuta,pratyuta,ind.,NA,sambanxah,15
14,tiraskriyA,tiraskriyA,nom. sg. f.,NA,karwa,15
15,Bavati,BU1,pr. ac. sg. 3,NA,,
