s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,SItAluH,SItAlu,nom. sg. f.,NA,karwa,2
1,sarasi,saras,loc. sg. n.,NA,axikaranam,2
2,avataritum,ava_tF1,inf.,NA,prayojanam,16
3,anicCuH,anicCu,nom. sg. f.,NA,viseranam,0
4,ataH,ataH,ind.,NA,sambanxah,7
5,eva,eva,ind.,NA,sambanxah,4
6,tawaBuvi,tawa-BU,loc. sg. f.,NA,axikaranam,7
7,AsInA,As1,ppr. md.,NA,bavalakranasapwami_samanakalah,16
8,karayugaM,kara-yuga,acc. sg. n.,NA,karma,9
9,DunvAnA,Du1,ppr. md.,NA,bavalakranasapwami_samanakalah,16
10,ramBaUrUH,ramBa-UrUH,nom. sg. f.,NA,karma,16
11,salilagatena,salila-gam1,pp.,NA,viseranam,13
12,sasmitena,sasmita,i. sg. m.,NA,viseranam,13
13,BartrA,Bartf,i. sg. m.,NA,karwa,16
14,vilAsAn,vi_las1,acc. pl. m.,NA,karma,15
15,Ikzitum,Ikz1,inf.,NA,prayojanam,16
16,sicyate,sic1,pr. ps. sg. 3,NA,,
17,sma,sma,ind.,NA,sambanxah,16
