s_no,word,lemma,morph,true_node,dep_tag,to_node
0,rAjA,rAjan,nom. sg. m.,0,karwa,3
1,janatAyAm,jana,loc. sg. f.,4,axikaranam,3
2,GozaRAm,GozaRa,acc. sg. f.,5,karma,3
3,akArayat,kf,ca. impft. ac. sg. 3,6,prawiyogi,4
4,yat,yad,acc. sg. n.,21,anuyogi,5
5,rAjYi,rAjan,loc. sg. m.,8,axikaranam,6
6,avaguRadarSakaH,darSaka,nom. sg. m.,11,karwa,10
7,rAjataH,rAjan,acc. pl. m.,12,apaxanam,10
8,BUyAMsam,BUyas,acc. sg. m.,13,viseranam,9
9,puraskAram,puraskAra,acc. sg. m.,14,karma,10
10,prApsyati,Ap,fut. ac. sg. 3,15,,
