s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,sAgarasya,sAgara,g. sg. m.,NA,rartisambanxah,1
1,mahormiBiH,mahormin,i. pl. m.,NA,karwa,6
2,yacCAlam,yacCAla,acc. sg. m.,NA,karma,4
3,uttuNgatayA,uttuNgatA,i. sg. f.,NA,karanam,4
4,vijetuM,vi_ji1,inf.,NA,prayojanam,6
5,dUrAt,dUra,abl. sg. m.,NA,apaxanam,6
6,udasTIyata,ud_sTA1,impft. sg. 3,NA,,
7,aByAsagatEH,aByAsa-gam1,pp.,NA,viseranam,8
8,vyAhatavAYCitaarTEH,vyAhata-vAYCita-arTa,i. pl. m.,NA,karwa,11
9,vrIqAt,vrIqa,abl. sg. m.,NA,prawiyogi,10
10,iva,iva,ind.,NA,anuyogi,5
11,vililye,vi_lI1,pft. ps. sg. 3,NA,,
